DPU type	model_size	AP sur coco	GFLOP/inference	Nb param	mean inference measure time (t4-t5)	total inference measure time (t4-t5) (ms)	mean inference power (W)	max inference power (W)	mean inference vaitrace time (ms)	total inference vaitrace time (ms)	Inference Energy (mJ)	total power max (W)	total power min (W)	total power mean (W)
DPUC32B1CU1	nano	25,8	1,08	0,91	0,00502685	0,100537	17,599532	17,66417125	4,36105	87,221	1540,686681	18,05875938	16,8075925	17,37502399
DPUC32B1CU1	tiny	32,8	6,45	5,06	0,00736555	0,147311	17,44424016	17,50334344	6,6597	133,194	2331,340326	18,28899313	16,80344563	17,37345759
DPUC32B1CU1	s	40,5	26,8	9	0,0094468	0,188936	17,47909469	17,6986075	8,73065	174,613	3090,406951	18,6406675	16,7345	17,32603995
DPUC32B1CU1	m	46,9	73,8	25,3	0,01897755	0,379551	17,54381855	17,827845	18,28695	365,739	6520,338202	19,64174063	16,81081	17,44875494
DPUC32B1CU1	l	49,7	155,6	54,2	0,0324558	0,649116	17,52982685	17,82253313	31,7638	635,276	11322,22755	21,4845525	16,92342875	17,62606228
DPUC32B1CU1	xl	51,1	281,9	99,1	0,05776715	1,155343	17,56564665	17,855105	57,08465	1141,693	20385,04839	21,85293063	16,86281125	17,7980264
DPUC32B2CU1	nano	25,8	1,08	0,91	0,0059723	0,059723	18,86481469	18,92406313	4,7954	47,954	907,4845231	19,58956094	18,24187156	18,81128705
DPUC32B2CU1	tiny	32,8	6,45	5,06	0,008498	0,08498	19,083244	19,11828156	7,3038	73,038	1396,361049	20,37462156	18,34102531	18,84800493
DPUC32B2CU1	s	40,5	26,8	9	0,0106214	0,106214	18,88503104	19,309035	9,4587	94,587	1826,383694	21,19293281	18,299825	18,9231749
DPUC32B2CU1	m	46,9	73,8	25,3	0,0206919	0,206919	19,11993506	19,28331156	19,4994	194,994	3760,130055	23,48639313	18,18546156	18,96861078
DPUC32B2CU1	l	49,7	155,6	54,2	0,0345501	0,345501	19,1138178	19,37240906	33,3615	333,615	6462,926249	25,46236188	18,41352594	19,11190473
DPUC32B2CU1	xl	51,1	281,9	99,1	0,0599054	0,599054	19,16813074	19,38752906	58,5555	585,555	11352,46458	27,35676938	18,32796281	19,32517993
DPUC32B4CU1	nano	25,8	1,08	0,91	0,007375	0,036875	23,00592677	23,19266188	5,1642	25,821	598,8577223	23,40639781	22,22880938	22,8280478
DPUC32B4CU1	tiny	32,8	6,45	5,06	0,011705	0,058525	23,2334451	23,668335	9,4712	47,356	1120,837672	26,45554875	22,74844656	23,41180868
DPUC32B4CU1	s	40,5	26,8	9	0,0143988	0,071994	23,62991052	23,75408063	12,1492	60,746	1442,965382	27,33393031	22,90866281	23,65688864
DPUC32B4CU1	m	46,9	73,8	25,3	0,0271042	0,135521	24,0604174	24,18396906	24,8828	124,414	3008,824327	30,90650875	23,29809469	23,94160112
DPUC32B4CU1	l	49,7	155,6	54,2	0,04229	0,21145	24,14981278	24,32394375	40,0344	200,172	4868,972468	33,45022719	23,51565937	24,29097798
DPUC32B4CU1	xl	51,1	281,9	99,1	0,069152	0,34576	24,21756377	24,46538469	66,9334	334,667	8187,756897	38,17531813	23,59670719	24,51741757
DPUC32B5CU1	nano	25,8	1,08	0,91	0,00866925	0,034677	28,54026297	28,56093344	5,6425	22,57	644,6202677	29,21118406	28,14513656	28,74216155
DPUC32B5CU1	tiny	32,8	6,45	5,06	0,0132725	0,05309	26,67748609	26,82903406	10,443	41,772	1120,702411	29,9942925	26,17577219	26,89775925
DPUC32B5CU1	s	40,5	26,8	9	0,015914	0,063656	27,73435573	28,1167225	13,10525	52,421	1473,90671	31,65307594	27,10807031	27,69521537
DPUC32B5CU1	m	46,9	73,8	25,3	0,02926975	0,117079	28,39930647	28,49535656	26,45225	105,809	3015,065183	38,50501656	27,66245563	28,40656151
DPUC32B5CU1	l	49,7	155,6	54,2	0,044786	0,179144	29,07367566	29,21806812	41,956	167,824	4903,493065	45,2823075	28,14219375	29,11603287
DPUC32B5CU1	xl	51,1	281,9	99,1	0,07163725	0,286549	29,37115196	29,58215156	68,75	275	8135,09168	47,32995344	28,62735625	29,60709403
DPUC32B6CU1	nano	25,8	1,08	0,91	0,00938975	0,037559	30,71471021	30,86208844	6,09575	24,383	752,5103024	31,84249813	30,34684344	30,94992803
DPUC32B6CU1	tiny	32,8	6,45	5,06	0,0158985	0,063594	31,33968859	31,44580719	12,63325	50,533	1589,050975	34,353515	29,85789688	30,85579044
DPUC32B6CU1	s	40,5	26,8	9	0,01916125	0,076645	29,2126574	29,44050438	15,8225	63,29	1863,289522	34,20888625	28,50473406	29,20251899
DPUC32B6CU1	m	46,9	73,8	25,3	0,03498325	0,139933	29,61720414	29,731785	31,66175	126,647	3765,441375	41,29685781	29,20163281	29,78614413
DPUC32B6CU1	l	49,7	155,6	54,2	0,052129	0,208516	30,50100172	30,75940156	48,7695	195,078	6000,482538	46,86613625	29,88549313	30,6852286
DPUC32B6CU1	xl	51,1	281,9	99,1	0,081538	0,326152	30,84108848	31,02273594	78,25275	313,011	9710,457599	50,60811031	30,16968875	31,19924992
DPUC64B2CU1	nano	25,8	1,08	0,91	0,0059584	0,059584	23,49325227	23,57450188	4,7917	47,917	1129,619406	24,54221438	22,71775719	23,29413004
DPUC64B2CU1	tiny	32,8	6,45	5,06	0,0074129	0,074129	23,51725706	23,66841813	6,237	62,37	1476,199238	24,89431625	22,72060188	23,30006877
DPUC64B2CU1	s	40,5	26,8	9	0,0089449	0,089449	23,63493641	23,69445688	7,7586	77,586	1838,358131	25,39424219	22,81120719	23,36610402
DPUC64B2CU1	m	46,9	73,8	25,3	0,0162208	0,162208	23,32702531	23,45325344	15,0319	150,319	3525,469603	27,7552825	22,68170875	23,38150658
DPUC64B2CU1	l	49,7	155,6	54,2	0,0243231	0,243231	23,5682169	23,79305281	23,1259	231,259	5502,3576	31,05531656	22,87285063	23,6280762
DPUC64B2CU1	xl	51,1	281,9	99,1	0,0424694	0,424694	23,55289952	23,74219531	41,2694	412,694	9798,261552	35,88210344	22,93866438	23,87091145
DPUC32B1CU2 copy	l	49,7	155,6	54,2	0,03255535	0,651107	22,56629921	22,774855	31,8691	637,382	14516,28263	26,37766781	21,72549656	22,49230554
DPUC32B1CU2 copy	m	46,9	73,8	25,3	0,0190628	0,381256	22,37151467	22,56323094	18,37935	367,587	8293,950371	24,85328313	21,55531125	22,30370977
DPUC32B1CU2 copy	nano	25,8	1,08	0,91	0,0050735	0,10147	21,54637013	21,67544813	4,41565	88,313	1914,22385	21,86307	21,14506	21,52684335
DPUC32B1CU2 copy	s	40,5	26,8	9	0,00949355	0,189871	22,40869553	22,63466875	8,813	176,26	3989,586714	23,46570313	21,60040281	22,15037793
DPUC32B1CU2 copy	tiny	32,8	6,45	5,06	0,00751905	0,150381	22,23653003	22,43297813	6,7314	134,628	3020,106979	23,05274563	21,56603219	22,05423445
DPUC32B1CU2 copy	xl	51,1	291,9	99,1	0,0579223	1,158446	22,5861183	22,92896094	57,2397	1144,794	26248,93691	26,96631906	21,81515281	22,77332948
DPUC32B1CU2	nano	25,8	1,08	0,91	0,00508755	0,101751	21,98506594	21,98506594	4,437	88,74	1950,954751	23,14207469	21,75950469	22,36914412
DPUC32B1CU2	tiny	32,8	6,45	5,06	0,0074204	0,148408	22,70997831	22,98338719	6,74805	134,961	3101,860918	23,42270594	21,73866344	22,36855257
DPUC32B1CU2	s	40,5	26,8	9	0,009416	0,18832	22,53945867	22,72286906	8,7391	174,782	3971,5485	23,73752469	21,84311031	22,47842594
